Grupo de documentos,Nome do documento,Ano,Conceito,Segmento,Cobertura %,Página,classification
RIHGB,rihgb1920t0087 ,1920, colonia,"22 IltV lSTA Ufl INSTITUTO UIWOHICO 
sula ordinariamente inobservada. Por outro lado, o Conselho Ultra-marino, com o seu apparelhamenlo deficiente, não podia dar vasão  
ao enorme expediente da Colonia, que tinha a seu cargo. A quem  
estuda a correspondência, não só do Conselho, mas ainda da  
propria Secretaria de Estado, com os governadores e capitães  
generaes das differentes capitanias, para logo se depara quanto  
era falha a organização dnquellas repartições, por onde corriam  
todos os negocios coloniaes, desde os ",0.0481449,21,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"Serve  
de lim ite a essas duas regiões a serra denominada do Caiapõ, que   é o divorlium ai/uarum das bacias do Prata e Amazonas. 
Os direitos de Goiaz sôbre os territórios era questão eviden-ciam-se da maneira mais flagrante possível dos documentos a que  
já temos alludido, referentes ao periodo colonial, a datar da pro-visão de 2 de Agosto de 1748 e da informação de d. Marcos de No-ronha, de 12 de Janeiro de 1750. 
Vejamos agora o que occorreu depois do Brasil indepen-dente. 
Quanto á zona compreltcndida na margem esquerda do Ara-guaia, confinando-se ao Oéste e ao Norte com o ",0.053771,27,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"que vimos, por Luiz de Albuquerque. E' o  proprio Cândido Mendes, que não póde ser suspeito a Matto-Grosso c cuja auetoridade na jnnteria cm questão é por todos reco-nhecida, que diz "" Depois dessa epocha, nunca mais se tratou das   divisas entre Goyaz e Matto-Grosso, ao menos por parte do go-verno colonial, mantido por um alvará ou provisão do Conselho  
Ultramarino, o ajuste feito pelas duas Capitanias em 1771 "" . 
De facto, o ajuste foi respeitado integralmente durante as ad-ministrações de Antonio Carlos Furtado de Mendonça, que foi seu  
signatário por parte de Goiaz ; de José de Almeida de Vasconcellos   Soveral de Carvalho,",0.0584748,30,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"é para desprezar em um pleito dessa  
natureza, e que prova sua posse anterior sôbre os territórios liti-giosos. 
Ás duas fórmulas que o emerito patrono ex-adverso prescreve  
para resolução das questões delim ites entre os Estados brasileiros,   mandando-se observar: 1’, os lim ites traçados por lei geral, do  
tempo da colonia ou do Império, ou por acto equivalente; 2’ , os  
imites que correm pelos extremos da posse, — ha ainda que junctar  
luma terceira, isto é, que, na falta daquelles elementos, se tomem em   consideração quaesquer títulos que importem presumpção de direito. 
É o caso de Goiaz no presente litig io . Matto-Grosso ",0.0585671,35,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"Atlas do Império do Brasil — Rio de Janeiro —  
Lith. do Inst. Philomatico — Rua Sete de Setembro 68— 1868 —  
Pag. 29,1* columna. linhas de 1 a 13, te x to : 
• Depois dessa época nunca mais se tratou de divisas entre   Goiaz e Matto Grosso, ao menos por parte do Governo Colonial,   mantendo por um Alvará ou Provisão do Conselho Ultramarino o  
ajuste feito pelas duas Capitanias. E o proprio Luiz Pinto exer-",0.0375383,36,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"Ara-guaia, em 1774, o registo da Insua. Contra esse acto. porém, pro-testou o governador de Goiaz José de Almeida e Vasconcellos, em  
caita de 10 de Dezembro do mesmo atino, ao secretario de Estado   Martinho de M ello e Castro. 
Do allcgado se concluc que, durante o resto do período colo-nial, as divisas traçadas em 1750 foram observadas sem impu-gnação por parte do govêrn o de Matto-Grosso.",0.0363393,37,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"de Goiaz, que Os  
possuiu primeiro que Matto-Grosso, como tenho demonstrado. A  
posse de Matto-Grosso sobre elles nunca foi mansa e pacifica, em-bora já se prolongue por dilatado período de tempo ; dos protestos e   das contendas que a perturbaram e perturbam está referta a chronica   que vem dos últimos tempos coloniaes aos nossos dias. Apresum-pção d direito preexistente não póde legitimamente ser invocada   em favor de Matto-Grosso. Assim, a não ser a appllcação do uti-possidetis, não vejo que outra fórmula jurídica possa valer aos fins  
que Matto-Grosso tem em vista nesta questão. 
O honrado árbitro de Matto-Grosso enumera, por informações   do ",0.060135,42,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"A presente Memória do nosso illustre consocio, sr. Anniba!   Velloso Rebello é dedicada ao estudo do um dos estadistas   sul-amerioanos de maior vulto na Historia do nosso conti-nente, Garcia Moreno. 
Depois de algumas páginas votadas á historia primitiva   do Equador, antes colonia hispanhola. depois Republica auto-noma, o auctor traça o perfil de seu heroe, desenha a situação   do paiz antes do periodo de seu govêrno presidencial, e o   aceompanha desde que assumiu as redeas do governo equa-toriano, até o fatal desfecho de sua vida. 
E' um estudo completo sftbre o illustre homem ",0.0536788,79,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"á educação de Garcia Moreno. 
Ponto de alta relevância para os Equatorianos é o da sua   independência. Parece que a iniciativa do movimento eman-cipador hispano-americano partiu do povo de Quito. A data   de 10 de Agosto de 1809 é sempre recordada como o exemplo   que serviu para que as demais colonias hispanholas procla-massem a sua independeneia. Galardoaram a valorosa cidade   com as heróicas denominações de Primogênita da Independên-cia e de Quito-Luz da America (1). 
Elle parecia temer que o seu republicanismo fosse posto   cm dúvida e aproveitou varias occasions para fazer profissão   de fé política. 
«fomo republicano, por conricçío e democrata ",0.0603195,90,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"sua defesa dos Jesuítas, desejei que a luz da   civilização christã diffundisse seus raios em nosso horizonte   tenebroso; e julguei-me feliz no dia em que os Jesuítas res-piraram o ar de minha patria, persuadido com razão de que   contribuiríam efficazmento para destruir a ignoraneia em quo   nos deixou o regime colonial e a corrupção que nos foi legada   por ÍO annos de guerra e de anarchia. Si houver entre   nós um governo que saiba dar impulso á nossa imperfeita o   decadente inslrucção pública e a extenda por todos os pontos   do E«tado ao alcance do pobre e do desvalido, uni ",0.0534021,90,Sem violência
