Id,Label
Aníbal Veloso Rabelo (1868-1943),Aníbal Veloso Rabelo (1868-1943)
Augusto de Tavares de Lyra (1872-1958),Augusto de Tavares de Lyra (1872-1958)
Manoel Cícero Peregrino da Silva (1866-1956),Manoel Cícero Peregrino da Silva (1866-1956)
Max Fleiuss (1868-1943),Max Fleiuss (1868-1943)
Pedro Calmon (1902-1985),Pedro Calmon (1902-1985)
Rodrigo Octavio Langgard Menezes (1866-1944),Rodrigo Octavio Langgard Menezes (1866-1944)
Hélio Lobo (1883-1960),Hélio Lobo (1883-1960)
Afonso Celso Junior (1860-1938),Afonso Celso Junior (1860-1938)
Lucas Ayarragaray (1861-1944),Lucas Ayarragaray (1861-1944)
Félix Pachecho (1879-1935),Félix Pachecho (1879-1935)
Alfonso Escragnolle Taunay (1876-1958),Alfonso Escragnolle Taunay (1876-1958)
Hélio Vianna (1908-1962),Hélio Vianna (1908-1962)
Enrique de Gandia (1906-2000),Enrique de Gandia (1906-2000)
Ramón J. Cárcano (1860-1946),Ramón J. Cárcano (1860-1946)
Ernesto Quesada (1858-1934),Ernesto Quesada (1858-1934)
Ricardo Levene (1885-1959),Ricardo Levene (1885-1959)
Rodolfo Rivarola (1857-1946),Rodolfo Rivarola (1857-1946)
Luis Maria Torres (1878-1937),Luis Maria Torres (1878-1937)
Alfonso Reyes (1889-1959),Alfonso Reyes (1889-1959)
Emíllo Ravignani (1886-1954),Emíllo Ravignani (1886-1954)
Romulo de Carbia (1885-1944),Romulo de Carbia (1885-1944)
Roberto Levillier (1886-1969),Roberto Levillier (1886-1969)
Romulo Zabala (1884-1949),Romulo Zabala (1884-1949)
Diego Luis Molinari (1889-1966),Diego Luis Molinari (1889-1966)
